Date,Open,High,Low,Close,Adj Close,Volume
29-08-2013,17.558929,17.732143,17.540358,17.560715,15.305969,239657600
30-08-2013,17.571428,17.605356,17.375,17.400715,15.166509,272297200
03-09-2013,17.610714,17.878571,17.405357,17.449286,15.20885,331928800
04-09-2013,17.841429,17.937143,17.724285,17.810356,15.52355,345032800
05-09-2013,17.866072,17.88143,17.629999,17.688213,15.417097,236367600
06-09-2013,17.80143,17.834999,17.498215,17.793571,15.508922,359525600
09-09-2013,18.035713,18.139999,17.981428,18.077499,15.756392,340687200
10-09-2013,18.078571,18.123215,17.482143,17.665714,15.397483,743195600
11-09-2013,16.678928,16.9175,16.600357,16.70393,14.559191,898696400
12-09-2013,16.732143,16.978571,16.643213,16.881786,14.714211,404051200
13-09-2013,16.762142,16.85107,16.59643,16.603571,14.471719,298835600
16-09-2013,16.464287,16.486071,15.972143,16.075714,14.011638,543706800
17-09-2013,15.998571,16.418215,15.982143,16.261429,14.173504,399380800
18-09-2013,16.542143,16.655357,16.452143,16.595715,14.464869,456862000
19-09-2013,16.810715,16.993929,16.758928,16.867857,14.702065,404541200
20-09-2013,17.071428,17.09107,16.642857,16.693214,14.54985,699302800
23-09-2013,17.717857,17.746786,17.235714,17.522858,15.272969,762106800
24-09-2013,17.674286,17.695356,17.422144,17.467857,15.225029,364344400
25-09-2013,17.47143,17.487143,17.19393,17.1975,14.98939,316957200
26-09-2013,17.357143,17.44857,17.282143,17.365,15.135382,237221600
27-09-2013,17.277857,17.309643,17.168571,17.241072,15.027366,228040400
30-09-2013,17.044643,17.202143,16.943214,17.026787,14.840591,260156400
01-10-2013,17.0875,17.469286,17.084999,17.427143,15.189543,353883600
02-10-2013,17.343929,17.564285,17.276787,17.484285,15.239354,289184000
03-10-2013,17.518213,17.583929,17.169287,17.264643,15.04791,322753200
04-10-2013,17.280714,17.307142,17.092857,17.251072,15.036082,258868400
07-10-2013,17.377144,17.594643,17.333929,17.419643,15.183011,312292400
08-10-2013,17.497856,17.522858,17.162144,17.17643,14.971025,290917200
09-10-2013,17.308571,17.42107,17.081429,17.378214,15.146894,301725200
10-10-2013,17.547144,17.584999,17.394285,17.487143,15.241843,278602800
11-10-2013,17.3925,17.637142,17.327143,17.600357,15.34052,267738800
14-10-2013,17.493929,17.770714,17.476786,17.715714,15.44106,261898000
15-10-2013,17.768213,17.928572,17.697144,17.809999,15.523248,320073600
16-10-2013,17.885357,17.9475,17.829643,17.896786,15.598885,251101200
17-10-2013,17.856428,18.027857,17.845715,18.017857,15.704417,253593200
18-10-2013,18.071072,18.187857,18.061071,18.174643,15.841062,290542000
21-10-2013,18.2775,18.725,18.268572,18.620001,16.22924,398106800
22-10-2013,18.800358,18.873215,18.143929,18.566786,16.182858,534063600
23-10-2013,18.535713,18.77393,18.535713,18.748571,16.341303,313723200
24-10-2013,18.75,19.016787,18.65893,18.996786,16.557646,384764800
25-10-2013,18.975714,19.043928,18.753929,18.784286,16.372431,337792000
28-10-2013,18.894285,18.964287,18.686071,18.924286,16.494455,550440800
29-10-2013,19.1525,19.258928,18.376429,18.452856,16.083565,635807200
30-10-2013,18.557501,18.84,18.465,18.746429,16.339434,354163600
31-10-2013,18.75,18.838928,18.616785,18.667856,16.270962,275696400
01-11-2013,18.715,18.742857,18.422857,18.5725,16.187845,274890000
04-11-2013,18.610714,18.815001,18.528929,18.8125,16.397028,244627600
05-11-2013,18.735001,18.888929,18.678572,18.766071,16.356562,265213200
06-11-2013,18.719643,18.745001,18.507143,18.604286,16.310217,223375600
07-11-2013,18.556429,18.685356,18.299286,18.303213,16.046274,262620400
